epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,331.028,2.01247,4.28358,0.01817,0.2628,0.19835,0.13333,0.05344,2.03812,3.20137,0.01923,0.015,0.005,0.015,0.005,0.015,0.005,0.015,0.005
2,525.72,1.96563,3.08753,0.01755,0.35476,0.27482,0.24036,0.09168,2.08205,2.80646,0.01968,0.0149898,0.00499661,0.0149898,0.00499661,0.0149898,0.00499661,0.0149898,0.00499661
3,745.264,1.95453,2.89848,0.01742,0.40957,0.33095,0.30211,0.12861,1.94606,2.54239,0.0175,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
4,982.493,1.94566,2.80975,0.01732,0.45477,0.34372,0.33793,0.14579,1.95149,2.49237,0.01746,0.0149086,0.00496953,0.0149086,0.00496953,0.0149086,0.00496953,0.0149086,0.00496953
5,1226.36,1.94331,2.76494,0.01726,0.37884,0.30991,0.27464,0.11564,2.05565,2.68739,0.01869,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
6,1474.02,1.93275,2.70867,0.01701,0.43372,0.31813,0.30527,0.13085,2.00635,2.57413,0.01812,0.014747,0.00491567,0.014747,0.00491567,0.014747,0.00491567,0.014747,0.00491567
7,1712.02,1.92581,2.67304,0.0169,0.44762,0.37196,0.35455,0.15364,1.9855,2.37024,0.01775,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
8,1955.12,1.91736,2.63213,0.01681,0.46614,0.37451,0.36281,0.16197,1.97186,2.31717,0.01746,0.0145068,0.00483561,0.0145068,0.00483561,0.0145068,0.00483561,0.0145068,0.00483561
9,2191.03,1.91108,2.61445,0.01686,0.479,0.3872,0.37916,0.1687,1.9711,2.31455,0.01754,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603
10,2430.83,1.90903,2.5789,0.0167,0.46729,0.38362,0.37437,0.16988,1.92218,2.31849,0.01691,0.0141907,0.00473024,0.0141907,0.00473024,0.0141907,0.00473024,0.0141907,0.00473024
11,2660.51,1.90489,2.57885,0.01667,0.48073,0.36015,0.35826,0.16428,1.94824,2.44943,0.01732,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841
12,2896.7,1.90194,2.55073,0.01667,0.48232,0.40296,0.39828,0.17063,1.98797,2.18779,0.01741,0.0138021,0.00460071,0.0138021,0.00460071,0.0138021,0.00460071,0.0138021,0.00460071
13,3133.02,1.89049,2.52287,0.01653,0.5116,0.42649,0.43181,0.1997,1.90493,2.07174,0.01674,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
14,3369.41,1.87933,2.50059,0.0165,0.49253,0.41478,0.41483,0.19538,1.8726,2.11387,0.01653,0.0133453,0.00444844,0.0133453,0.00444844,0.0133453,0.00444844,0.0133453,0.00444844
15,3605.52,1.88416,2.48275,0.01649,0.49385,0.42055,0.41747,0.18403,1.94943,2.07915,0.01705,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428
16,3813.72,1.87503,2.48759,0.01627,0.49104,0.43378,0.43286,0.18986,1.94502,2.04751,0.01702,0.0128253,0.00427509,0.0128253,0.00427509,0.0128253,0.00427509,0.0128253,0.00427509
17,4048.58,1.8721,2.46354,0.0162,0.51107,0.42389,0.43219,0.1999,1.90057,2.06966,0.0167,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811
18,4280.85,1.87624,2.43776,0.01614,0.54332,0.45219,0.46853,0.2221,1.87799,2.03368,0.01624,0.0122477,0.00408257,0.0122477,0.00408257,0.0122477,0.00408257,0.0122477,0.00408257
19,4517.19,1.87007,2.43584,0.01612,0.52818,0.43936,0.44632,0.20412,1.91113,2.04908,0.01655,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977
20,4764.22,1.85848,2.40557,0.01608,0.53463,0.4415,0.45839,0.21786,1.85968,2.03285,0.01601,0.0116189,0.00387298,0.0116189,0.00387298,0.0116189,0.00387298,0.0116189,0.00387298
21,5078.51,1.86833,2.39663,0.01604,0.54025,0.46527,0.48141,0.23184,1.84307,1.91798,0.01572,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625
22,5320.14,1.85589,2.37321,0.01602,0.56017,0.46421,0.48892,0.23977,1.81987,1.93631,0.01549,0.0109459,0.00364863,0.0109459,0.00364863,0.0109459,0.00364863,0.0109459,0.00364863
23,5555.05,1.85039,2.39682,0.01616,0.56548,0.47143,0.4989,0.24414,1.81816,1.91825,0.0155,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167
24,5789.2,1.85843,2.36019,0.01602,0.56924,0.47964,0.508,0.25216,1.81385,1.83591,0.01536,0.0102359,0.00341196,0.0102359,0.00341196,0.0102359,0.00341196,0.0102359,0.00341196
25,6026.57,1.85159,2.34247,0.01598,0.56407,0.48926,0.51185,0.24943,1.81454,1.8605,0.01535,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982
26,6261.02,1.84071,2.33674,0.01595,0.56095,0.49689,0.51667,0.25382,1.81038,1.81545,0.01529,0.00949673,0.00316558,0.00949673,0.00316558,0.00949673,0.00316558,0.00949673,0.00316558
27,6494.79,1.83825,2.32922,0.0157,0.55871,0.49188,0.50803,0.24706,1.8315,1.83227,0.0156,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958
28,6730.87,1.8324,2.29882,0.01577,0.57713,0.50338,0.52596,0.25412,1.83965,1.80759,0.01549,0.00873653,0.00291218,0.00873653,0.00291218,0.00873653,0.00291218,0.00873653,0.00291218
29,6962.2,1.82472,2.28728,0.01563,0.57074,0.50779,0.53069,0.26351,1.80958,1.75558,0.01521,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371
30,7215.12,1.83427,2.2795,0.01553,0.5982,0.50155,0.54332,0.27445,1.77604,1.77957,0.0148,0.00796359,0.00265453,0.00796359,0.00265453,0.00796359,0.00265453,0.00796359,0.00265453
31,7525.83,1.81599,2.25219,0.01551,0.58939,0.51409,0.5458,0.27208,1.79189,1.7362,0.01496,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525
32,7758.44,1.82534,2.24557,0.01552,0.60216,0.51275,0.55209,0.27673,1.78136,1.71924,0.01485,0.00718641,0.00239547,0.00718641,0.00239547,0.00718641,0.00239547,0.00718641,0.00239547
