epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.078,1.79662,1.95843,0.01633,0.44022,0.36385,0.33704,0.15141,2.01496,3.03965,0.01788,0.000166263,0.000166263,0.0669136
2,462.135,1.81519,2.01202,0.01674,0.53501,0.44977,0.45747,0.20089,1.97655,2.12911,0.01778,0.000332422,0.000332422,0.0337465
3,663.186,1.84467,2.07744,0.01719,0.55799,0.46749,0.48735,0.22529,1.89741,1.93358,0.0165,0.000496552,0.000496552,0.000577262
4,869.17,1.84484,2.12942,0.01737,0.56997,0.47944,0.50455,0.23862,1.84491,1.91718,0.0161,0.000493162,0.000493162,0.000493162
5,1079.32,1.83735,2.1055,0.01714,0.5616,0.48996,0.5069,0.23811,1.89516,1.95599,0.01644,0.000487886,0.000487886,0.000487886
6,1295.62,1.84865,2.09794,0.01713,0.57885,0.49926,0.52064,0.2443,1.86467,1.8664,0.01615,0.00048116,0.00048116,0.00048116
7,1506.33,1.8329,2.10089,0.01702,0.58055,0.49321,0.51933,0.24591,1.86167,1.85399,0.01621,0.000473024,0.000473024,0.000473024
8,1721.58,1.8299,2.06728,0.01689,0.59201,0.5013,0.53418,0.25629,1.83684,1.82171,0.01584,0.000463528,0.000463528,0.000463528
9,1943.04,1.81928,2.03164,0.01692,0.56649,0.50805,0.52575,0.25168,1.85402,1.86692,0.01601,0.000452732,0.000452732,0.000452732
10,2153.94,1.81496,2.03427,0.01678,0.5871,0.5107,0.54196,0.26227,1.83449,1.80123,0.01565,0.0004407,0.0004407,0.0004407
11,2366.65,1.79715,2.00752,0.0166,0.6073,0.51886,0.55993,0.27838,1.81453,1.76018,0.0153,0.000427509,0.000427509,0.000427509
12,2595.98,1.78886,1.99537,0.01644,0.61415,0.53366,0.57167,0.28403,1.79727,1.68973,0.01511,0.000413238,0.000413238,0.000413238
13,2816.47,1.80006,1.97285,0.01656,0.61542,0.53923,0.58075,0.28608,1.82775,1.69093,0.01547,0.000397977,0.000397977,0.000397977
14,3032.15,1.78761,1.95981,0.01633,0.63497,0.5319,0.58253,0.29058,1.79022,1.69191,0.01511,0.000381818,0.000381818,0.000381818
15,3254.16,1.7841,1.93919,0.01617,0.62938,0.53974,0.58628,0.29382,1.80577,1.67779,0.01511,0.000364863,0.000364863,0.000364863
16,3477.97,1.76716,1.89408,0.01597,0.63706,0.55137,0.59814,0.304,1.77514,1.62792,0.0148,0.000347214,0.000347214,0.000347214
17,3694.5,1.7626,1.88989,0.01595,0.65657,0.54809,0.60521,0.30716,1.76889,1.64733,0.01477,0.000328982,0.000328982,0.000328982
18,3913.94,1.76411,1.88741,0.01582,0.65113,0.56646,0.61598,0.31469,1.7833,1.58941,0.0148,0.000310278,0.000310278,0.000310278
19,4131.93,1.75917,1.85891,0.0159,0.65313,0.5747,0.62099,0.32007,1.76059,1.58957,0.01462,0.000291218,0.000291218,0.000291218
20,4349.32,1.75452,1.83172,0.0157,0.66091,0.57053,0.62423,0.32345,1.75156,1.58318,0.0145,0.000271919,0.000271919,0.000271919
21,4564.55,1.73503,1.80428,0.01547,0.66455,0.57043,0.62743,0.3271,1.75213,1.5616,0.01447,0.0002525,0.0002525,0.0002525
22,4786.98,1.73102,1.8036,0.01542,0.67323,0.57844,0.63657,0.33398,1.74074,1.53475,0.0143,0.000233081,0.000233081,0.000233081
23,5000.97,1.72897,1.78155,0.01546,0.68532,0.57452,0.64101,0.33518,1.73396,1.53616,0.01423,0.000213782,0.000213782,0.000213782
24,5215.75,1.71789,1.757,0.01516,0.67931,0.58507,0.64405,0.33982,1.73306,1.52427,0.01418,0.000194722,0.000194722,0.000194722
25,5433.59,1.71178,1.74881,0.01509,0.68484,0.58732,0.64571,0.3412,1.73437,1.50497,0.01419,0.000176018,0.000176018,0.000176018
26,5662.42,1.70286,1.74744,0.01498,0.68983,0.5902,0.64907,0.34335,1.73225,1.50718,0.01418,0.000157786,0.000157786,0.000157786
27,5869.74,1.68567,1.70598,0.01484,0.69397,0.5898,0.65216,0.34565,1.73305,1.49582,0.01412,0.000140137,0.000140137,0.000140137
28,6096.14,1.68767,1.68804,0.01486,0.68752,0.59775,0.65471,0.34656,1.72918,1.49012,0.01411,0.000123182,0.000123182,0.000123182
29,6315.91,1.68192,1.68941,0.01474,0.6889,0.59994,0.65657,0.3485,1.72695,1.4854,0.01408,0.000107023,0.000107023,0.000107023
30,6535.53,1.67863,1.69019,0.01467,0.6946,0.60041,0.65985,0.35101,1.7277,1.47848,0.01407,9.17616e-05,9.17616e-05,9.17616e-05
31,6754.99,1.56455,1.29674,0.0135,0.69581,0.60436,0.66172,0.35276,1.7242,1.48092,0.01402,7.74911e-05,7.74911e-05,7.74911e-05
32,6968.12,1.55891,1.28161,0.0134,0.69915,0.60596,0.66455,0.35435,1.72214,1.47383,0.01399,6.42995e-05,6.42995e-05,6.42995e-05
33,7183.74,1.55412,1.274,0.01328,0.69917,0.61068,0.66638,0.35593,1.72185,1.47108,0.01398,5.22683e-05,5.22683e-05,5.22683e-05
34,7400.76,1.54719,1.26705,0.01307,0.70309,0.60964,0.66693,0.35656,1.71967,1.46858,0.01397,4.14716e-05,4.14716e-05,4.14716e-05
35,7617.81,1.53818,1.2479,0.01298,0.70237,0.61211,0.6671,0.35667,1.72166,1.4645,0.01401,3.19759e-05,3.19759e-05,3.19759e-05
36,7836.11,1.5367,1.24694,0.01316,0.70728,0.60881,0.66795,0.35753,1.72136,1.46217,0.01398,2.38398e-05,2.38398e-05,2.38398e-05
37,8053.25,1.5428,1.23857,0.01309,0.70603,0.60897,0.66831,0.35802,1.72124,1.46005,0.01399,1.71135e-05,1.71135e-05,1.71135e-05
38,8270.03,1.53316,1.22656,0.01305,0.7058,0.6097,0.66881,0.35841,1.72099,1.45894,0.01399,1.18384e-05,1.18384e-05,1.18384e-05
39,8492.21,1.53729,1.23249,0.01299,0.70742,0.60894,0.66881,0.35816,1.72062,1.45887,0.01397,8.04714e-06,8.04714e-06,8.04714e-06
40,8698.8,1.53398,1.2242,0.01301,0.70846,0.61,0.66879,0.3586,1.72049,1.4572,0.01397,5.76296e-06,5.76296e-06,5.76296e-06
